YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2001,9,26,77.05,28.590999999999998,-1.0,0.515,0.08199999999999999
2001,9,27,77.05,28.590999999999998,-1.0,0.363,0.035
2001,9,28,77.05,28.590999999999998,-1.0,0.535,0.067
2001,9,29,77.05,28.590999999999998,-1.0,0.469,0.081
2001,10,5,77.05,28.590999999999998,-1.0,1.3419999999999999,0.07
2001,10,6,77.05,28.590999999999998,-1.0,1.3,0.071
2001,10,8,77.05,28.590999999999998,-1.0,0.981,0.04
2001,10,9,77.05,28.590999999999998,0.66,0.71,0.053
2001,10,10,77.05,28.590999999999998,-1.0,0.64,-1.0
2001,10,13,77.05,28.590999999999998,0.27,0.28800000000000003,0.052000000000000005
2001,10,14,77.05,28.590999999999998,1.23,1.121,0.106
2001,10,15,77.05,28.590999999999998,1.08,1.0490000000000002,0.047
2001,10,16,77.05,28.590999999999998,0.96,1.165,0.184
2001,10,17,77.05,28.590999999999998,-1.0,0.466,0.026000000000000002
2001,10,18,77.05,28.590999999999998,0.54,0.66,0.139
2001,10,20,77.05,28.590999999999998,1.08,1.105,0.29
2001,10,21,77.05,28.590999999999998,0.93,0.995,0.091
2001,10,22,77.05,28.590999999999998,0.63,0.73,0.109
2001,10,23,77.05,28.590999999999998,0.91,0.978,0.17300000000000001
2001,10,24,77.05,28.590999999999998,-1.0,1.194,0.085
2001,10,25,77.05,28.590999999999998,0.43,0.562,0.18
2001,10,27,77.05,28.590999999999998,0.44,0.578,0.183
2001,10,28,77.05,28.590999999999998,-1.0,0.86,0.073
2001,10,29,77.05,28.590999999999998,0.64,0.56,0.16899999999999998
2001,10,30,77.05,28.590999999999998,-1.0,0.5489999999999999,0.057
2001,10,31,77.05,28.590999999999998,0.72,0.721,0.047
2001,11,1,77.05,28.590999999999998,0.53,0.688,0.13699999999999998
2001,11,2,77.05,28.590999999999998,-1.0,0.305,0.024
2001,11,3,77.05,28.590999999999998,0.33,0.35200000000000004,0.11199999999999999
2001,11,4,77.05,28.590999999999998,-1.0,0.622,0.011000000000000001
2001,11,5,77.05,28.590999999999998,-1.0,0.413,0.138
2001,11,7,77.05,28.590999999999998,-1.0,0.555,0.10400000000000001
2001,11,8,77.05,28.590999999999998,-1.0,0.759,0.166
2001,11,9,77.05,28.590999999999998,0.33,0.363,0.032
2001,11,10,77.05,28.590999999999998,0.24,0.253,0.067
2001,11,12,77.05,28.590999999999998,0.36,0.376,0.057
2001,11,13,77.05,28.590999999999998,-1.0,0.3,-1.0
2001,11,14,77.05,28.590999999999998,0.26,0.374,0.102
2001,11,15,77.05,28.590999999999998,-1.0,0.733,0.124
2001,11,16,77.05,28.590999999999998,0.86,0.8809999999999999,0.027000000000000003
2001,11,17,77.05,28.590999999999998,1.25,1.258,0.051
